ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
94924,6041132200,BOLINAS,CA,0.004796163069544364,0.0,0.0,0.004597701149425287
94925,6041121200,CORTE MADERA,CA,0.4051724137931034,0.376502002670227,0.2824074074074074,0.39184111647879766
94925,6041124100,CORTE MADERA,CA,0.00022686025408348456,0.0,0.0023148148148148147,0.0003578457684737878
94925,6041120002,CORTE MADERA,CA,0.008166969147005444,0.0,0.009259259259259259,0.007156915369475756
94925,6041121100,CORTE MADERA,CA,0.5864337568058077,0.6234979973297731,0.7060185185185185,0.6006441223832528
94927,6097151305,ROHNERT PARK,CA,1.0,1.0,1.0,1.0
94928,6097151305,ROHNERT PARK,CA,0.12958739373833714,0.1724137931034483,0.17557755775577558,0.13565162907268172
94928,6097153202,ROHNERT PARK,CA,0.0,0.01756668835393624,0.0,0.0012083780880773362
94928,6097151307,ROHNERT PARK,CA,0.09620568111134149,0.06115810019518542,0.008580858085808581,0.08785356247762263
94928,6097151306,ROHNERT PARK,CA,0.10372174994816505,0.00520494469746259,0.1570957095709571,0.10056390977443609
94928,6097151308,ROHNERT PARK,CA,0.11279286750984864,0.2934287573194535,0.16501650165016502,0.1287593984962406
94928,6097151301,ROHNERT PARK,CA,0.08350611652498445,0.057905009759271306,0.0891089108910891,0.082124955245256
94928,6097151310,ROHNERT PARK,CA,0.07723408666804893,0.03513337670787248,0.06468646864686468,0.07348728965270318
94928,6097151203,ROHNERT PARK,CA,0.050124403897988806,0.001951854261548471,0.01914191419141914,0.04470998925886144
94928,6097151309,ROHNERT PARK,CA,0.1354965788928053,0.034482758620689655,0.044884488448844885,0.12240422484783386
94928,6097151311,ROHNERT PARK,CA,0.13601492846775864,0.054001301236174366,0.08316831683168317,0.12679018976011458
94928,6097151206,ROHNERT PARK,CA,0.07531619324072154,0.2667534157449577,0.19273927392739273,0.09644647332617258
94929,6041133000,DILLON BEACH,CA,1.0,1.0,0.0,1.0
94930,6041114200,FAIRFAX,CA,0.3723296032553408,0.21843003412969283,0.47333333333333333,0.3654857142857143
94930,6041114100,FAIRFAX,CA,0.5867243133265514,0.7713310580204779,0.49333333333333335,0.5958857142857142
94930,6041115000,FAIRFAX,CA,0.005595116988809766,0.0,0.0,0.005028571428571428
94930,6041116000,FAIRFAX,CA,0.001271617497456765,0.0,0.0,0.001142857142857143
94930,6041131100,FAIRFAX,CA,0.0340793489318413,0.006825938566552901,0.03333333333333333,0.032228571428571426
94930,6041113000,FAIRFAX,CA,0.0,0.0034129692832764505,0.0,0.00022857142857142857
94931,6097151310,COTATI,CA,0.015157558835261268,0.0014005602240896359,0.012698412698412698,0.013403938441171603
94931,6097151203,COTATI,CA,0.497207818109294,0.3907563025210084,0.24761904761904763,0.47162005626344533
94931,6097151311,COTATI,CA,0.02153968887116075,0.0,0.0,0.017871917921562137
94931,6097151301,COTATI,CA,0.00977263661747108,0.004201680672268907,0.0,0.008604997517789177
94931,6097151204,COTATI,CA,0.31810929397686477,0.2030812324929972,0.37142857142857144,0.3072976998179712
94931,6097151205,COTATI,CA,0.01336258476266454,0.0014005602240896359,0.0,0.01125268906172431
94931,6097151206,COTATI,CA,0.11467889908256881,0.38795518207282914,0.35555555555555557,0.15952341552209168
94931,6097153501,COTATI,CA,0.010171519744714799,0.011204481792717087,0.012698412698412698,0.01042528545424458
94933,6041113000,FOREST KNOLLS,CA,1.0,1.0,1.0,1.0
94937,6041132200,INVERNESS,CA,1.0,1.0,1.0,1.0
94938,6041113000,LAGUNITAS,CA,1.0,1.0,0.0,1.0
94939,6041120001,LARKSPUR,CA,0.18060379374833022,0.1711229946524064,0.2587800369685767,0.18823529411764706
94939,6041121100,LARKSPUR,CA,0.0037403152551429334,0.0,0.0,0.002889576883384933
94939,6041119100,LARKSPUR,CA,0.007213465134918514,0.0,0.0,0.005572755417956657
94939,6041121200,LARKSPUR,CA,0.17045150948437082,0.5508021390374331,0.41404805914972276,0.24169246646026832
94939,6041120002,LARKSPUR,CA,0.6379909163772375,0.27807486631016043,0.32717190388170053,0.561609907120743
94940,6041133000,MARSHALL,CA,1.0,0.0,1.0,1.0
94941,6041124100,MILL VALLEY,CA,0.025133120340788073,0.028936742934051143,0.03091684434968017,0.02580410685080865
94941,6041126200,MILL VALLEY,CA,0.15385161519346824,0.180349932705249,0.1812366737739872,0.15779271912290266
94941,6041130204,MILL VALLEY,CA,0.0009939652112176073,0.07065948855989233,0.009594882729211088,0.007753346659397904
94941,6041125000,MILL VALLEY,CA,0.1531416400425985,0.10834454912516824,0.267590618336887,0.155612090374947
94941,6041127000,MILL VALLEY,CA,0.1579694710685126,0.2711978465679677,0.2025586353944563,0.17069477254830698
94941,6041128200,MILL VALLEY,CA,0.14071707490237842,0.05787348586810229,0.042643923240938165,0.12768792779695923
94941,6041126100,MILL VALLEY,CA,0.17529286474973377,0.23149394347240915,0.15458422174840086,0.17917499545702345
94941,6041128100,MILL VALLEY,CA,0.18636847710330137,0.04576043068640646,0.10874200426439233,0.16930159307044643
94941,6041121100,MILL VALLEY,CA,0.0008519701810436634,0.0,0.0,0.0007268762493185535
94941,6041131100,MILL VALLEY,CA,0.0056798012069577564,0.005383580080753701,0.0021321961620469083,0.005451571869889152
94942,6041126200,MILL VALLEY,CA,1.0,1.0,1.0,1.0
94945,6041101100,NOVATO,CA,0.1521558872305141,0.06405693950177936,0.029641185647425898,0.13242973002999667
94945,6097150702,NOVATO,CA,0.00013819789939192924,0.0,0.0,0.00011109876680368848
94945,6041133000,NOVATO,CA,0.0,0.0035587188612099642,0.0046801872074883,0.0007776913676258194
94945,6041102202,NOVATO,CA,0.25981205085682696,0.04181494661921708,0.046801872074883,0.21742028663481835
94945,6041102100,NOVATO,CA,0.134742951907131,0.06138790035587188,0.0358814352574103,0.11854238417953561
94945,6041102203,NOVATO,CA,0.28993919292426756,0.6129893238434164,0.6817472698907956,0.35818242417509166
94945,6041104102,NOVATO,CA,0.011746821448313986,0.05516014234875445,0.028081123244929798,0.0183312965226086
94945,6041101200,NOVATO,CA,0.15146489773355445,0.1610320284697509,0.1731669266770671,0.15420508832351962
94946,6041107000,NICASIO,CA,0.004629629629629629,0.0,0.0,0.004366812227074236
94946,6041133000,NICASIO,CA,0.9907407407407407,1.0,1.0,0.9912663755458515
94946,6041113000,NICASIO,CA,0.004629629629629629,0.0,0.0,0.004366812227074236
94947,6041103200,NOVATO,CA,0.2793680106699497,0.5639686684073107,0.44929797191887677,0.29960077987187816
94947,6041104104,NOVATO,CA,0.05037447419718888,0.04960835509138381,0.0265210608424337,0.04892767616748677
94947,6041104102,NOVATO,CA,0.21309120755104136,0.05221932114882506,0.40717628705148207,0.21892117723516852
94947,6041103100,NOVATO,CA,0.28470298553401047,0.09660574412532637,0.0234009360374415,0.2624640237675239
94947,6041102100,NOVATO,CA,0.007079101261926747,0.0,0.0,0.006406090428001114
94947,6041104103,NOVATO,CA,0.12270442187339695,0.06527415143603134,0.0421216848673947,0.11586667904558537
94947,6041102202,NOVATO,CA,0.037755206730275985,0.0731070496083551,0.0218408736349454,0.038065175006963145
94947,6041133000,NOVATO,CA,0.0010259567046270648,0.0,0.0124804992199688,0.0016711540246959428
94947,6041102203,NOVATO,CA,0.003898635477582846,0.09921671018276762,0.0171606864274571,0.008077244452697058
94948,6041104103,NOVATO,CA,1.0,1.0,1.0,1.0
94949,6041104104,NOVATO,CA,0.185070386155237,0.05107370864770749,0.19689119170984457,0.16403029431502253
94949,6041104300,NOVATO,CA,0.09247061862327263,0.583284968078932,0.2860103626943005,0.19144856677212155
94949,6041104200,NOVATO,CA,0.31835205992509363,0.028438769587928032,0.10259067357512953,0.2505033074489502
94949,6041105002,NOVATO,CA,0.19553144775926642,0.2983168891468369,0.29637305699481864,0.2218387498801649
94949,6041104103,NOVATO,CA,0.005553403073744027,0.0017411491584445734,0.002072538860103627,0.004601668104687949
94949,6041105001,NOVATO,CA,0.2030220844633863,0.0371445153801509,0.11606217616580311,0.16757741347905283
94950,6041132200,OLEMA,CA,0.0,1.0,0.0,1.0
94951,6097151309,PENNGROVE,CA,0.14627775359164127,0.025380710659898477,0.075,0.13575374901341752
