CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZipCode
6059088107,California,Orange County,0,0,0,0,92844.0
6059088201,California,Orange County,0,0,0,0,92841.0
6059088202,California,Orange County,0,0,0,0,92840.0
6059088203,California,Orange County,0,1,0,0,92841.0
6059088301,California,Orange County,0,1,0,0,92840.0
6059088302,California,Orange County,0,0,0,0,92840.0
6059088401,California,Orange County,0,0,0,0,92840.0
6059088402,California,Orange County,0,0,0,0,92840.0
6059088403,California,Orange County,0,0,0,0,92868.0
6059088501,California,Orange County,0,0,0,0,92843.0
6059088502,California,Orange County,0,0,0,0,92843.0
6059088601,California,Orange County,0,0,0,0,92843.0
6059088602,California,Orange County,0,1,0,0,92843.0
6059088701,California,Orange County,0,1,0,1,92844.0
6059088702,California,Orange County,0,0,0,0,92844.0
6059088801,California,Orange County,0,0,0,0,92844.0
6059088802,California,Orange County,0,0,0,0,92844.0
6059088901,California,Orange County,0,0,0,0,92844.0
6059088902,California,Orange County,0,0,0,0,92843.0
6059088903,California,Orange County,0,0,0,0,92843.0
6059088904,California,Orange County,0,0,0,0,92844.0
6059088905,California,Orange County,0,1,0,0,92844.0
6059089001,California,Orange County,0,1,0,0,92843.0
6059089003,California,Orange County,0,0,0,0,92843.0
6059089004,California,Orange County,0,1,0,0,92703.0
6059089102,California,Orange County,0,0,0,0,92843.0
6059089104,California,Orange County,0,0,0,0,92843.0
6059089105,California,Orange County,0,1,0,0,92704.0
6059089106,California,Orange County,0,1,0,0,92843.0
6059089107,California,Orange County,0,0,0,0,92868.0
6059099202,California,Orange County,0,1,0,0,92708.0
6059099203,California,Orange County,0,0,0,0,92843.0
6059099204,California,Orange County,0,0,0,0,92708.0
6059099212,California,Orange County,0,0,0,0,92647.0
6059099214,California,Orange County,0,0,0,0,92646.0
6059099215,California,Orange County,0,0,0,0,92646.0
6059099216,California,Orange County,0,0,0,0,92708.0
6059099217,California,Orange County,0,0,0,0,92646.0
6059099220,California,Orange County,0,0,0,0,92648.0
6059099222,California,Orange County,0,0,0,0,92683.0
6059099223,California,Orange County,0,0,0,0,92708.0
6059099224,California,Orange County,0,0,0,0,92708.0
6059099225,California,Orange County,0,0,0,0,92708.0
6059099226,California,Orange County,0,0,0,0,92708.0
6059099227,California,Orange County,0,0,0,0,92708.0
6059099229,California,Orange County,0,0,0,0,92728.0
6059099230,California,Orange County,0,0,0,0,92708.0
6059099231,California,Orange County,0,0,0,0,92708.0
6059099232,California,Orange County,0,0,0,0,92708.0
6059099233,California,Orange County,0,0,0,0,92708.0
6059099234,California,Orange County,0,0,0,0,92708.0
6059099235,California,Orange County,0,0,0,0,92648.0
6059099237,California,Orange County,0,0,0,0,92646.0
6059099238,California,Orange County,0,0,0,0,92646.0
6059099239,California,Orange County,0,0,0,0,92646.0
6059099240,California,Orange County,0,0,0,0,92646.0
6059099241,California,Orange County,0,0,0,0,92683.0
6059099242,California,Orange County,0,0,0,0,92647.0
6059099243,California,Orange County,0,0,0,0,92648.0
6059099244,California,Orange County,0,0,0,0,92646.0
6059099245,California,Orange County,0,0,0,0,92648.0
6059099246,California,Orange County,0,0,0,0,92646.0
6059099247,California,Orange County,0,1,0,0,92704.0
6059099248,California,Orange County,0,0,0,0,92704.0
6059099249,California,Orange County,0,0,0,0,92704.0
6059099250,California,Orange County,0,1,0,0,92708.0
6059099251,California,Orange County,0,0,0,0,92708.0
6059099305,California,Orange County,0,0,0,0,92648.0
6059099306,California,Orange County,0,0,0,0,92648.0
6059099307,California,Orange County,0,0,0,0,92648.0
6059099308,California,Orange County,0,0,0,0,92648.0
6059099309,California,Orange County,0,0,0,0,92648.0
6059099310,California,Orange County,0,0,0,0,92648.0
6059099311,California,Orange County,0,0,0,0,92648.0
6059099402,California,Orange County,0,1,0,0,92648.0
6059099404,California,Orange County,0,0,0,0,92649.0
6059099405,California,Orange County,0,0,0,0,92647.0
6059099406,California,Orange County,0,0,0,0,92649.0
6059099407,California,Orange County,0,0,0,0,92649.0
6059099408,California,Orange County,0,0,0,0,92649.0
6059099410,California,Orange County,0,0,0,0,92683.0
6059099411,California,Orange County,0,1,0,0,92647.0
6059099412,California,Orange County,0,0,0,0,92648.0
6059099413,California,Orange County,0,0,0,0,
6059099415,California,Orange County,0,0,0,0,92649.0
6059099416,California,Orange County,0,0,0,0,92649.0
6059099417,California,Orange County,0,0,0,0,92649.0
6059099502,California,Orange County,0,1,0,0,92649.0
6059099504,California,Orange County,0,0,0,0,90740.0
6059099506,California,Orange County,0,0,0,0,92649.0
6059099508,California,Orange County,0,0,0,0,92649.0
6059099509,California,Orange County,1,1,1,1,90740.0
6059099510,California,Orange County,1,1,1,1,90740.0
6059099511,California,Orange County,0,0,0,0,90740.0
6059099512,California,Orange County,0,0,0,0,90740.0
6059099513,California,Orange County,0,0,0,0,92649.0
6059099514,California,Orange County,0,0,0,0,92649.0
6059099601,California,Orange County,0,0,0,0,92685.0
6059099602,California,Orange County,0,0,0,0,92683.0
6059099603,California,Orange County,0,0,0,0,92683.0
6059099604,California,Orange County,0,0,0,0,92649.0
6059099605,California,Orange County,0,0,0,0,92647.0
6059099701,California,Orange County,0,1,0,0,92683.0
6059099702,California,Orange County,0,1,0,0,92683.0
6059099703,California,Orange County,0,0,0,0,92683.0
6059099801,California,Orange County,0,0,0,0,92844.0
6059099802,California,Orange County,0,1,0,0,92683.0
6059099803,California,Orange County,0,1,0,0,92683.0
6059099902,California,Orange County,0,0,0,0,92683.0
6059099903,California,Orange County,0,0,0,0,92841.0
6059099904,California,Orange County,0,0,0,0,92841.0
6059099905,California,Orange County,0,0,0,0,92845.0
6059099906,California,Orange County,0,0,0,0,92683.0
6059110001,California,Orange County,0,0,0,0,92846.0
6059110003,California,Orange County,0,0,0,0,92845.0
6059110004,California,Orange County,0,0,0,0,92845.0
