Fast Food Name,ZipCode,State
McDonald's,95610,CA
Burger King,95630,CA
In-N-Out Burger,95648,CA
Taco Bell,95650,CA
Costa Vida,95661,CA
In-N-Out Burger,95667,CA
Taco Bell,95667,CA
McDonald's,95667,CA
Carl's Jr.,95667,CA
KFC,95667,CA
McDonald's,95667,CA
Jack in the Box,95667,CA
Burger King,95670,CA
Wendy's,95678,CA
Burger King,95678,CA
Hot Dog On A Stick,95678,CA
Carl's Jr.,95682,CA
McDonald's,95687,CA
Jack in the Box,95687,CA
Carl's Jr. / Green Burrito,95691,CA
Taco Bell,95713,CA
Subway,95747,CA
Carl's Jr.,95776,CA
Taco Bell,95776,CA
McDonald's,95776,CA
Burger King,95815,CA
Wendy's,95821,CA
Carl's Jr. / Green Burrito,95821,CA
El Pollo Loco,95824,CA
Carl's Jr.,95825,CA
Carl's Jr. / Green Burrito,95826,CA
Taco Bell,95831,CA
Panda Express,95834,CA
Taco Bell,95842,CA
Burger King,95842,CA
Taco Bell,95843,CA
Burger King,95901,CA
Burger King,95901,CA
McDonald's,95901,CA
Taco Bell,95901,CA
Taco Bell,95901,CA
Burger King,95928,CA
Jack in the Box,95945,CA
Taco Bell,95948,CA
Burger King,95965,CA
Wendy's,95965,CA
SONIC Drive-In,95965,CA
Subway,95969,CA
Carl's Jr.,95993,CA
Taco Bell,96002,CA
Burger King,96021,CA
Burger King,96021,CA
Carl's Jr.,90012,CA
,,
Five Guys,90017,CA
Subway,90027,CA
Chicken House,90027,CA
Subway,90028,CA
McDonald's,90029,CA
El Pollo Loco,90031,CA
McDonald's,90035,CA
Jack in the Box,90037,CA
Subway,90037,CA
Taco Bell,90042,CA
El Pollo Loco,90042,CA
Burger King,90045,CA
McDonald's,90047,CA
Subway,90049,CA
SUBWAY,90056,CA
El Pollo Loco,90057,CA
Burger King,90057,CA
Taco Bell,90059,CA
McDonald's,90059,CA
Taco Bell,90062,CA
McDonald's,90063,CA
Cypress Best,90065,CA
Pizza Hut,90066,CA
Burger King,90201,CA
SUBWAY,90201,CA
Pizza Hut,90220,CA
Panda Express,90220,CA
McDonald's,90220,CA
Burger King,90230,CA
Pizza Hut,90232,CA
McDonald's,90241,CA
McDonald's,90247,CA
Carl's Jr. / Green Burrito,90248,CA
McDonald's,90248,CA
Del Taco,90249,CA
Jack in the Box,90249,CA
Domino's Pizza,90249,CA
Rally's Hamburgers,90250,CA
McDonald's,90255,CA
Pizza Hut,90255,CA
Domino's Pizza,90275,CA
Domino's Pizza,90275,CA
Pizza Hut,90275,CA
Subway,90302,CA
El Pollo Loco,90302,CA
McDonald's,90303,CA
El Pollo Loco,90303,CA
Jack in the Box,90303,CA
SUBWAY,90304,CA
Jack in the Box,90304,CA
Subway,90401,CA
Domino's Pizza,90501,CA
Wienerschnitzel,90501,CA
Jack in the Box,90502,CA
Round Table Pizza,90504,CA
Carl's Jr.,90504,CA
Panda Express,90505,CA
McDonalds,90505,CA
Domino's Pizza,90602,CA
Pizza Hut,90603,CA
The Flame Broiler,90603,CA
Jack in the Box,90605,CA
Jack in the Box,90605,CA
Burger King,90606,CA
Taco Bell,90606,CA
Carl's Jr.,90620,CA
Burger King,90630,CA
Carl's Jr.,90630,CA
Domino's Pizza,90631,CA
KFC,90631,CA
SUBWAY,90631,CA
Pizza Hut,90631,CA
Carl's Jr.,90631,CA
Wendy's,90638,CA
Pizza Hut,90640,CA
Taco Bell,90650,CA
Del Taco,90670,CA
McDonald's,90670,CA
Jack in the Box,90701,CA
McDonald's,90703,CA
McDonald's,90712,CA
Rubio's Coastal Grill,90712,CA
McDonald's,90712,CA
Subway,90712,CA
Taco Bell,90712,CA
El Pollo Loco,90713,CA
KFC,90731,CA
McDonald's,90732,CA
Jack in the Box,90744,CA
McDonald's,90745,CA
Pizza Hut,90746,CA
Taco Bell,90804,CA
Pizza Hut,90804,CA
McDonald's,90805,CA
McDonald's,90805,CA
Taco Bell,90805,CA
Jack in the Box,90805,CA
El Pollo Loco,90805,CA
The Flame Broiler,90806,CA
Del Taco,90808,CA
In-N-Out Burger,90808,CA
McDonald's,90810,CA
Carl's Jr,90815,CA
Everest,91001,CA
McDonald's,91006,CA
Burger King,91020,CA
McDonald's,91104,CA
Taco Bell,91104,CA
Pizza Hut,91105,CA
McDonald's,91201,CA
The Great Steak & Potato Co.,91204,CA
McDonald's,91205,CA
Domino's Pizza,91301,CA
Burger King,91301,CA
Mcdonald's,91301,CA
Mcdonald's,91302,CA
Subway,91304,CA
Taco Bell,91304,CA
McDonalds,91320,CA
El Pollo Loco,91321,CA
Del Taco,91321,CA
Cinnabon,91324,CA
Peking Wok,91325,CA
Burger King,91331,CA
McDonalds,91331,CA
Domino's Pizza,91342,CA
Subway,91342,CA
Domino's Pizza,91342,CA
KFC,91343,CA
Pizza Hut,91350,CA
Domino's Pizza,91350,CA
Wienerschnitzel,91351,CA
Carl's Jr,91355,CA
McDonald's,91355,CA
Jack in the Box,91355,CA
Ll Hawaiian Barbecue,91360,CA
Wendy's,91362,CA
Baja Fresh,91367,CA
El Pollo Loco,91381,CA
Pollo Campero,91405,CA
McDonald's,91405,CA
Burger King,91406,CA
Wendy's,91502,CA
Panda Express,91502,CA
McDonald's,91504,CA
Baja Fresh,91602,CA
Burger King,91606,CA
Taco Bell,91608,CA
KFC,91702,CA
Del Taco,91706,CA
Farmer Boys,91706,CA
Carl's Jr.,91710,CA
Carl's Jr,91710,CA
Farmer Boys,91710,CA
Burger King,91710,CA
Popeyes Louisiana Kitchen,91730,CA
El Pollo Loco,91730,CA
Carl's Jr / Green Burrito,91730,CA
